id;name;discription;tenant_id
1;even-keeled Saint Helena Pound;Internal AI optical;bypassing Marketing
2;Dynamic Home Loan Account Tools;Branding;Home Gloves Latvia
3;Ports Manager Fish;Networked;Fish
4;payment calculating;local area network Benin;turn-key dedicated
5;Wisconsin;target Human withdrawal;dot-com payment Libyan Dinar
6;white sensor local;calculate;Chips
7;Villages uniform PCI;Automotive Tactics architectures;Wisconsin Facilitator Incredible
8;reinvent;eco-centric Bedfordshire mesh;Configuration UIC-Franc
9;Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire;portal calculating Metal
10;real-time discrete redundant;Synergistic Personal Loan Account Sleek;Borders
